iter	Passed	Remaining
0	108	108789
1	176	88298
2	270	89739
3	361	89966
4	459	91480
5	503	83370
6	584	82898
7	681	84448
8	792	87283
9	825	81677
10	889	79946
11	991	81669
12	1080	82060
13	1159	81692
14	1263	82999
15	1363	83842
16	1451	83950
17	1540	84032
18	1625	83928
19	1718	84186
20	1799	83879
21	1896	84294
22	1989	84499
23	2075	84421
24	2166	84512
25	2256	84518
26	2288	82455
27	2387	82893
28	2409	80671
29	2512	81234
30	2604	81409
31	2688	81332
32	2775	81339
33	2866	81433
34	2957	81546
35	3044	81529
36	3138	81687
37	3236	81934
38	3339	82278
39	3433	82414
40	3547	82968
41	3658	83458
42	3693	82206
43	3792	82406
44	3889	82550
45	3982	82591
46	4081	82767
47	4182	82944
48	4272	82915
49	4369	83011
50	4466	83107
51	4561	83151
52	4649	83077
53	4748	83180
54	4849	83328
55	4932	83153
56	5027	83176
57	5128	83295
58	5231	83441
59	5336	83599
60	5431	83606
61	5535	83744
62	5747	85489
63	5881	86013
64	6006	86398
65	6113	86514
66	6216	86568
67	6330	86765
68	6433	86803
69	6542	86926
70	6647	86976
71	6730	86744
72	6848	86969
73	6948	86951
74	7045	86888
75	7142	86839
76	7239	86779
77	7342	86793
78	7440	86739
79	7546	86789
80	7642	86710
81	7744	86704
82	7840	86621
83	7953	86732
84	8055	86714
85	8156	86690
86	8248	86565
87	8342	86463
88	8454	86538
89	8552	86475
90	8646	86366
91	8741	86275
92	8846	86279
93	8952	86285
94	9051	86226
95	9159	86251
96	9277	86362
97	9386	86391
98	9478	86265
99	9505	85549
100	9601	85465
101	9719	85571
102	9829	85599
103	9905	85338
104	9996	85211
105	10096	85153
106	10204	85165
107	10304	85106
108	10405	85057
109	10505	84997
110	10603	84926
111	10704	84872
112	10809	84849
113	10937	85008
114	11077	85248
115	11176	85169
116	11291	85220
117	11422	85378
118	11550	85513
119	11676	85629
120	11792	85665
121	11818	85054
122	11956	85253
123	12060	85198
124	12182	85276
125	12209	84694
126	12242	84154
127	12355	84171
128	12461	84137
129	12561	84062
130	12656	83955
131	12759	83902
132	12847	83753
133	12943	83651
134	13059	83678
135	13200	83865
136	13307	83826
137	13407	83747
138	13431	83198
139	13542	83191
140	13652	83176
141	13764	83168
142	13885	83216
143	13981	83110
144	14078	83015
145	14188	82991
146	14290	82925
147	14389	82838
148	14489	82757
149	14600	82738
150	14705	82683
151	14797	82554
152	14898	82474
153	15009	82454
154	15115	82403
155	15214	82312
156	15312	82218
157	15412	82135
158	15512	82050
159	15606	81933
160	15706	81851
161	15808	81774
162	15911	81702
163	16017	81648
164	16118	81570
165	16226	81522
166	16325	81433
167	16425	81346
168	16541	81338
169	16665	81364
170	16780	81353
171	16898	81350
172	17016	81344
173	17135	81342
174	17231	81234
175	17344	81204
176	17454	81160
177	17549	81041
178	17647	80940
179	17756	80892
180	17882	80917
181	17987	80847
182	18120	80896
183	18238	80885
184	18365	80908
185	18475	80855
186	18501	80437
187	18607	80370
188	18710	80285
189	18809	80188
190	18910	80097
191	19014	80019
192	19128	79983
193	19234	79914
194	19346	79867
195	19449	79781
196	19556	79715
197	19647	79581
198	19744	79473
199	19846	79386
200	19960	79346
201	20088	79358
202	20226	79410
203	20357	79432
204	20471	79388
205	20600	79401
206	20722	79386
207	20841	79356
208	20974	79381
209	21078	79293
210	21186	79222
211	21295	79156
212	21400	79070
213	21495	78950
214	21603	78879
215	21711	78806
216	21808	78690
217	21917	78621
218	22019	78524
219	22130	78462
220	22230	78360
221	22329	78255
222	22432	78161
223	22527	78043
224	22633	77960
225	22751	77920
226	22889	77945
227	23008	77905
228	23150	77943
229	23273	77914
230	23399	77897
231	23523	77869
232	23665	77903
233	23791	77881
234	23936	77922
235	24077	77944
236	24201	77913
237	24329	77894
238	24471	77920
239	24612	77938
240	24768	78006
241	24938	78112
242	25082	78138
243	25229	78169
244	25388	78237
245	25534	78265
246	25673	78269
247	25829	78323
248	25973	78338
249	26100	78302
250	26240	78304
251	26479	78596
252	26574	78464
253	26693	78400
254	26862	78479
255	26974	78394
256	27085	78306
257	27220	78286
258	27341	78225
259	27451	78131
260	27551	78009
261	27673	77949
262	27782	77855
263	27896	77773
264	28013	77696
265	28124	77606
266	28235	77514
267	28348	77428
268	28462	77346
269	28573	77254
270	28689	77175
271	28795	77069
272	28925	77028
273	29025	76905
274	29124	76782
275	29219	76647
276	29320	76529
277	29428	76430
278	29527	76304
279	29672	76301
280	29787	76217
281	29947	76248
282	30076	76201
283	30235	76227
284	30367	76186
285	30495	76133
286	30648	76140
287	30783	76102
288	30911	76049
289	31012	75926
290	31160	75919
291	31288	75863
292	31398	75763
293	31519	75690
294	31629	75589
295	31738	75486
296	31832	75346
297	31931	75221
298	32036	75108
299	32138	74990
300	32238	74865
301	32341	74748
302	32451	74648
303	32576	74583
304	32680	74467
305	32783	74351
306	32898	74262
307	33005	74154
308	33109	74039
309	33219	73940
310	33323	73825
311	33423	73703
312	33523	73580
313	33622	73456
314	33730	73351
315	33829	73225
316	33933	73112
317	34039	73002
318	34140	72883
319	34250	72782
320	34349	72658
321	34474	72588
322	34596	72514
323	34711	72423
324	34838	72356
325	34952	72262
326	35084	72207
327	35284	72290
328	35422	72245
329	35542	72161
330	35665	72084
331	35798	72029
332	35935	71979
333	36068	71920
334	36188	71836
335	36313	71761
336	36439	71688
337	36552	71591
338	36662	71487
339	36770	71378
340	36891	71294
341	36995	71177
342	37111	71086
343	37232	71002
344	37363	70936
345	37471	70828
346	37585	70729
347	37731	70692
348	37867	70636
349	37965	70506
350	38066	70384
351	38177	70280
352	38292	70185
353	38405	70084
354	38507	69964
355	38625	69872
356	38727	69753
357	38834	69642
358	38950	69546
359	39055	69431
360	39167	69329
361	39271	69212
362	39387	69118
363	39493	69005
364	39597	68888
365	39709	68786
366	39815	68672
367	39920	68558
368	40023	68441
369	40128	68326
370	40233	68212
371	40338	68098
372	40443	67984
373	40536	67849
374	40642	67738
375	40746	67622
376	40855	67513
377	40956	67393
378	41058	67275
379	41157	67150
380	41258	67032
381	41359	66912
382	41463	66795
