iter	Passed	Remaining
383	41568	66682
384	41669	66562
385	41782	66463
386	41888	66350
387	41995	66239
388	42104	66132
389	42210	66021
390	42314	65906
391	42419	65793
392	42529	65687
393	42642	65587
394	42747	65473
395	42857	65369
396	42958	65249
397	43078	65158
398	43177	65036
399	43280	64920
400	43390	64814
401	43491	64697
402	43604	64595
403	43728	64509
404	43854	64427
405	43968	64328
406	44072	64213
407	44181	64106
408	44293	64002
409	44402	63896
410	44559	63857
411	44692	63784
412	44824	63709
413	44946	63619
414	45067	63529
415	45180	63426
416	45297	63329
417	45414	63233
418	45521	63121
419	45626	63008
420	45726	62887
421	45846	62794
422	45955	62686
423	46056	62567
424	46164	62457
425	46274	62351
426	46374	62230
427	46486	62126
428	46595	62018
429	46702	61908
430	46804	61791
431	46910	61678
432	47021	61573
433	47125	61459
434	47231	61346
435	47335	61231
436	47450	61131
437	47550	61012
438	47651	60894
439	47748	60770
440	47853	60657
441	47950	60534
442	48059	60426
443	48166	60316
444	48267	60198
445	48376	60091
446	48469	59963
447	48578	59855
448	48702	59765
449	48831	59682
450	48946	59582
451	49065	59486
452	49201	59411
453	49331	59328
454	49442	59222
455	49559	59123
456	49674	59022
457	49794	58927
458	49896	58810
459	50006	58703
460	50117	58597
461	50225	58487
462	50337	58383
463	50436	58263
464	50544	58153
465	50646	58037
466	50754	57927
467	50857	57811
468	50958	57694
469	51068	57588
470	51179	57482
471	51296	57382
472	51395	57263
473	51514	57165
474	51625	57060
475	51728	56945
476	51838	56837
477	51947	56728
478	52073	56639
479	52181	56529
480	52322	56456
481	52475	56394
482	52580	56281
483	52692	56175
484	52822	56089
485	52939	55989
486	53046	55878
487	53151	55765
488	53272	55668
489	53382	55561
490	53479	55440
491	53598	55341
492	53704	55230
493	53823	55130
494	53929	55019
495	54039	54910
496	54149	54803
497	54275	54711
498	54428	54646
499	54543	54543
500	54660	54442
501	54782	54345
502	54902	54248
503	55028	54155
504	55147	54055
505	55257	53947
506	55353	53824
507	55461	53714
508	55590	53625
509	55705	53521
510	55823	53419
511	55948	53325
512	56067	53225
513	56179	53119
514	56296	53017
515	56418	52919
516	56522	52805
517	56621	52686
518	56725	52571
519	56830	52458
520	56937	52347
521	57050	52241
522	57154	52127
523	57256	52011
524	57373	51909
525	57487	51804
526	57582	51682
527	57697	51578
528	57815	51476
529	57914	51357
530	58020	51246
531	58123	51131
532	58232	51021
533	58337	50908
534	58446	50798
535	58563	50696
536	58678	50592
537	58777	50474
538	58880	50359
539	58995	50255
540	59099	50141
541	59201	50026
542	59305	49912
543	59400	49791
544	59507	49680
545	59623	49577
546	59733	49468
547	59854	49368
548	59967	49263
549	60072	49150
550	60172	49033
551	60278	48921
552	60384	48809
553	60481	48690
554	60586	48578
555	60690	48465
556	60803	48359
557	60918	48254
558	61022	48140
559	61127	48028
560	61242	47924
561	61350	47814
562	61472	47715
563	61576	47602
564	61689	47495
565	61799	47386
566	61913	47281
567	62019	47169
568	62131	47062
569	62234	46949
570	62340	46837
571	62449	46727
572	62546	46609
573	62667	46509
574	62787	46408
575	62903	46303
576	63008	46192
577	63107	46075
578	63207	45959
579	63315	45848
580	63437	45748
581	63543	45638
582	63643	45522
583	63752	45413
584	63870	45309
585	63980	45201
586	64096	45096
587	64195	44980
588	64304	44871
589	64406	44757
590	64507	44642
591	64623	44537
592	64729	44426
593	64827	44309
594	64941	44204
595	65048	44093
596	65148	43978
597	65266	43874
598	65374	43764
599	65491	43660
600	65600	43551
601	65704	43439
602	65813	43330
603	65957	43243
604	66083	43145
605	66192	43036
606	66299	42925
607	66415	42820
608	66536	42719
609	66661	42619
610	66777	42514
611	66896	42411
612	67004	42301
613	67139	42208
614	67245	42096
615	67338	41977
616	67442	41864
617	67560	41760
618	67658	41644
619	67766	41534
620	67874	41424
621	67980	41312
622	68090	41204
623	68199	41094
624	68303	40982
625	68419	40877
626	68529	40767
627	68639	40659
628	68745	40548
629	68856	40439
630	68964	40329
631	69076	40221
632	69187	40113
633	69292	40001
634	69397	39889
635	69513	39784
636	69626	39677
637	69747	39574
638	69857	39465
639	69977	39362
640	70087	39253
641	70189	39139
642	70314	39039
643	70429	38933
644	70542	38825
645	70645	38712
646	70747	38599
647	70849	38485
648	70967	38381
649	71077	38272
650	71183	38161
651	71297	38054
652	71391	37937
653	71478	37816
654	71576	37700
655	71690	37593
656	71783	37475
657	71888	37364
658	72001	37256
659	72109	37147
660	72221	37039
661	72332	36931
662	72447	36824
663	72552	36713
664	72675	36610
665	72795	36507
666	72923	36407
667	73053	36308
668	73160	36197
669	73269	36088
670	73373	35976
671	73474	35862
672	73630	35775
673	73776	35684
674	73888	35576
675	74042	35487
676	74186	35394
677	74347	35309
678	74463	35203
679	74576	35094
680	74694	34988
681	74811	34882
682	74917	34771
683	75045	34670
684	75158	34561
685	75272	34454
686	75451	34376
687	75585	34277
688	75729	34182
689	75866	34084
690	76012	33991
691	76142	33890
692	76257	33782
693	76364	33670
694	76491	33568
695	76619	33466
696	76738	33359
697	76861	33255
698	76966	33143
699	77085	33036
700	77193	32925
701	77308	32817
702	77424	32709
703	77557	32609
704	77668	32499
705	77774	32387
706	77892	32280
707	78023	32179
708	78149	32075
709	78279	31973
710	78408	31870
711	78528	31764
712	78644	31656
713	78770	31552
714	78895	31447
715	79004	31337
716	79134	31234
717	79251	31126
718	79356	31014
719	79473	30906
720	79586	30797
721	79708	30691
722	79819	30580
723	79928	30470
724	80042	30361
725	80139	30245
726	80259	30138
727	80374	30030
728	80494	29923
729	80597	29809
730	80713	29701
731	80821	29590
732	80934	29480
733	81058	29375
734	81166	29264
735	81310	29165
736	81475	29074
737	81618	28975
738	81744	28870
739	81890	28772
740	82036	28673
741	82151	28564
742	82256	28452
743	82372	28343
744	82486	28233
745	82617	28129
746	82797	28042
747	82936	27941
748	83087	27843
749	83222	27740
750	83356	27637
751	83474	27528
752	83590	27419
753	83713	27312
754	83823	27201
755	83932	27089
756	84056	26982
757	84173	26873
758	84284	26762
759	84403	26653
760	84514	26542
761	84628	26432
762	84742	26322
763	84850	26210
764	84979	26104
765	85102	25997
766	85219	25888
767	85330	25776
768	85447	25667
769	85576	25561
770	85702	25455
771	85802	25340
772	85926	25233
773	86046	25124
774	86160	25014
775	86282	24906
776	86405	24798
777	86531	24691
778	86656	24584
779	86778	24476
780	86899	24367
781	87020	24259
782	87115	24143
783	87229	24032
784	87350	23924
785	87474	23816
786	87635	23718
787	87782	23616
788	87915	23511
789	88065	23409
790	88206	23306
791	88324	23196
792	88434	23084
793	88564	22977
794	88659	22861
795	88753	22745
796	88859	22633
797	88975	22522
798	89093	22412
799	89204	22301
800	89321	22190
801	89439	22081
802	89549	21969
803	89768	21883
804	89885	21773
805	89998	21662
806	90112	21551
807	90241	21443
808	90381	21338
809	90508	21230
810	90639	21123
811	90758	21013
812	90881	20903
813	90997	20793
814	91109	20681
815	91231	20571
816	91355	20462
817	91477	20353
818	91597	20243
819	91707	20130
820	91848	20025
821	92029	19928
822	92167	19822
823	92319	19718
824	92465	19613
825	92603	19507
826	92719	19395
827	92830	19283
828	92971	19177
829	93007	19049
830	93106	18935
831	93222	18823
832	93334	18711
833	93452	18600
834	93570	18489
835	93692	18379
836	93807	18268
837	93919	18156
838	94041	18046
839	94177	17938
840	94290	17826
841	94420	17717
842	94538	17606
843	94673	17498
844	94797	17388
845	94912	17277
846	95044	17168
847	95156	17056
848	95279	16946
849	95407	16836
850	95514	16723
851	95626	16611
852	95741	16499
853	95859	16388
854	95984	16278
855	96162	16176
856	96328	16073
857	96486	15968
858	96623	15860
859	96779	15754
860	96893	15642
861	97004	15529
862	97136	15420
863	97252	15308
864	97370	15196
865	97494	15085
866	97615	14974
867	97721	14860
868	97830	14747
869	97947	14635
870	98078	14526
871	98187	14412
872	98295	14299
873	98422	14188
874	98536	14076
875	98646	13963
876	98760	13851
877	98869	13738
878	98988	13626
879	99105	13514
880	99236	13404
881	99346	13291
882	99468	13179
883	99577	13066
884	99689	12953
885	99811	12842
886	99934	12731
887	100042	12617
888	100152	12505
889	100267	12392
890	100376	12279
891	100482	12166
892	100621	12056
893	100738	11944
894	100856	11832
895	100980	11720
896	101092	11608
897	101251	11500
898	101421	11394
899	101556	11284
900	101705	11175
901	101858	11066
902	102005	10957
903	102134	10846
904	102254	10733
905	102380	10622
906	102505	10510
907	102645	10400
908	102763	10287
909	102879	10174
910	102993	10061
911	103120	9950
912	103242	9838
913	103368	9726
914	103476	9612
915	103587	9499
916	103707	9386
917	103837	9275
918	103953	9162
919	104074	9049
920	104176	8935
921	104285	8822
922	104395	8709
923	104503	8595
924	104641	8484
925	104749	8370
926	104870	8258
927	104989	8145
928	105101	8032
929	105227	7920
930	105350	7807
931	105456	7694
932	105585	7582
933	105706	7469
934	105834	7357
935	105946	7244
936	106061	7131
937	106173	7017
938	106281	6904
939	106407	6791
940	106528	6679
941	106650	6566
942	106772	6453
943	106886	6340
944	107014	6228
945	107132	6115
946	107269	6003
947	107400	5891
948	107525	5778
949	107646	5665
950	107765	5552
951	107897	5440
952	108037	5328
953	108148	5214
954	108256	5101
955	108376	4988
956	108493	4874
957	108611	4761
958	108720	4648
959	108840	4535
960	108948	4421
961	109071	4308
962	109175	4194
963	109283	4081
964	109398	3967
965	109533	3855
966	109634	3741
967	109754	3628
968	109870	3514
969	109990	3401
970	110110	3288
971	110231	3175
972	110338	3061
973	110450	2948
974	110561	2834
975	110677	2721
976	110781	2607
977	110898	2494
978	111020	2381
979	111144	2268
980	111260	2154
981	111370	2041
982	111490	1928
983	111608	1814
984	111738	1701
985	111852	1588
986	111977	1474
987	112093	1361
988	112210	1248
989	112330	1134
990	112445	1021
991	112582	907
992	112707	794
993	112844	681
994	112970	567
995	113094	454
996	113217	340
997	113333	227
998	113442	113
999	113555	0
