iter	Logloss
0	0.6305184937
1	0.5842462461
2	0.5407215957
3	0.5002669734
4	0.4671874068
5	0.4409126182
6	0.4182132492
7	0.3981905686
8	0.380616682
9	0.3651279095
10	0.3528300431
11	0.3403491311
12	0.330387868
13	0.3176164418
14	0.3034860188
15	0.2919175502
16	0.2821737943
17	0.2740023813
18	0.266247478
19	0.2600229458
20	0.2546100749
21	0.2492135271
22	0.2442674211
23	0.2400920435
24	0.2357623491
25	0.2322309423
26	0.2299264125
27	0.2273468007
28	0.2258292563
29	0.2218202263
30	0.2190510661
31	0.2167649824
32	0.2147346865
33	0.2133559476
34	0.2113700921
35	0.2100601065
36	0.2088913985
37	0.2079655509
38	0.2066242403
39	0.2049433759
40	0.2035987791
41	0.202206852
42	0.2017079232
43	0.2009982157
44	0.1995379496
45	0.1985460489
46	0.1979708831
47	0.1963395325
48	0.1954348443
49	0.1944799825
50	0.1936012898
51	0.1924240884
52	0.191865806
53	0.1910915346
54	0.190272135
55	0.1897266426
56	0.1887691575
57	0.1879268943
58	0.1871166
59	0.1865230214
60	0.1856436556
61	0.1848884312
62	0.1843477347
63	0.1837960136
64	0.183241611
65	0.1825764617
66	0.1820958064
67	0.1817076996
68	0.1810067011
69	0.1805308164
70	0.1802895432
71	0.1799538879
72	0.1797768136
73	0.179210369
74	0.1784228333
75	0.177862432
76	0.177480099
77	0.1770463047
78	0.1767769768
79	0.1761940962
80	0.1759490581
81	0.1753819345
82	0.1752044933
83	0.1747489343
84	0.1744008015
85	0.1738702221
86	0.173695673
87	0.173535866
88	0.1734271598
89	0.1728845893
90	0.1726558306
91	0.1722680314
92	0.1715905308
93	0.1709659408
94	0.1706744952
95	0.1699996629
96	0.1694369002
97	0.1690159013
98	0.1688086761
99	0.1687939871
100	0.1686043902
101	0.16810912
102	0.1675622692
103	0.167151414
104	0.1669517984
105	0.1665219259
106	0.1663651117
107	0.1660816891
108	0.1655929231
109	0.1654012528
110	0.1650060586
111	0.1646587555
112	0.1642941829
113	0.1639791809
114	0.1637198209
115	0.1635081279
116	0.1629684774
117	0.1626599131
118	0.1621510346
119	0.1618518944
120	0.1615829929
121	0.1615538743
122	0.160961501
123	0.1605421116
124	0.1600988811
125	0.160094911
126	0.1600906916
127	0.1594189084
128	0.159161413
129	0.1588899271
130	0.1585474335
131	0.1578388204
132	0.1577331781
133	0.1575096129
134	0.1570981101
135	0.1567353185
136	0.1561794317
137	0.1558014785
138	0.1557962977
139	0.1556629301
140	0.1554565614
141	0.1551473418
142	0.1546937385
143	0.1545502549
144	0.1541834949
145	0.1539417864
146	0.1537024012
147	0.153491084
148	0.1532001727
149	0.152915694
150	0.1527412441
151	0.1522622265
152	0.1520421264
153	0.1517928844
154	0.1515645204
155	0.1512539031
156	0.1511829146
157	0.1510136158
158	0.150606289
159	0.1504441246
160	0.1500491188
161	0.1497402827
162	0.1495236307
163	0.1492824483
164	0.1491080577
165	0.1488717183
166	0.1486004963
167	0.1481176751
168	0.1478334695
169	0.1476214386
170	0.1471743707
171	0.1471048832
172	0.1467819002
173	0.1463960549
174	0.1463045957
175	0.1458701274
176	0.1456160884
177	0.145506997
178	0.1452320122
179	0.1450384009
180	0.1448431116
181	0.1447848453
182	0.1444819347
183	0.143921117
184	0.1435359881
185	0.1432842421
186	0.1432832337
187	0.1429845943
188	0.1426296081
189	0.142301429
190	0.1421710357
191	0.1420334198
192	0.1414905422
193	0.1413411137
194	0.1407341376
195	0.1404041714
196	0.1399652918
197	0.1397780796
198	0.1394524652
199	0.1393094626
200	0.1392259
201	0.1389822646
202	0.1387551386
203	0.1383723391
204	0.1380946544
205	0.1379883855
206	0.1378113987
207	0.137638064
208	0.1373787212
209	0.1370203869
210	0.1368778037
211	0.1362614417
212	0.1360216407
213	0.1358895428
214	0.1356630888
215	0.1353109371
216	0.1350653768
217	0.1347177616
218	0.1345420165
219	0.1342629912
220	0.1339920815
221	0.1335639436
222	0.1333472354
223	0.1331270777
224	0.1329315028
225	0.1328780971
226	0.1325918922
227	0.1323239811
228	0.1319705589
229	0.131516467
230	0.1312700177
