Date,Open,High,Low,Close
2022-12-27,7.477,7.477,7.46,7.46
2022-12-26,7.477,7.492,7.459,7.46
2022-12-23,7.468,7.472,7.449,7.455
2022-12-22,7.451,7.46,7.434,7.438
2022-12-21,7.472,7.472,7.422,7.422
2022-12-20,7.472,7.472,7.438,7.439
2022-12-19,7.485,7.485,7.432,7.438
2022-12-16,7.431,7.446,7.422,7.434
2022-12-15,7.439,7.439,7.395,7.405
2022-12-14,7.417,7.417,7.367,7.374
2022-12-13,7.405,7.443,7.401,7.404
2022-12-12,7.459,7.459,7.424,7.424
2022-12-09,7.392,7.449,7.392,7.439
2022-12-08,7.396,7.396,7.375,7.384
2022-12-07,7.35,7.421,7.342,7.367
2022-12-06,7.342,7.359,7.342,7.347
2022-12-05,7.359,7.359,7.334,7.341
2022-12-02,7.342,7.371,7.342,7.346
2022-12-01,7.384,7.405,7.334,7.334
2022-11-30,7.384,7.409,7.384,7.392
2022-11-29,7.4,7.417,7.375,7.375
2022-11-28,7.413,7.42,7.373,7.382
2022-11-25,7.426,7.426,7.379,7.426
2022-11-24,7.443,7.443,7.388,7.388
2022-11-23,7.411,7.411,7.411,7.411
2022-11-22,7.414,7.414,7.414,7.414
2022-11-21,7.441,7.441,7.441,7.441
2022-11-18,7.443,7.468,7.43,7.43
2022-11-17,7.443,7.464,7.43,7.443
2022-11-16,7.481,7.481,7.429,7.435
2022-11-15,7.511,7.511,7.455,7.455
2022-11-14,7.481,7.519,7.477,7.477
2022-11-11,7.489,7.489,7.489,7.489
2022-11-10,7.554,7.554,7.511,7.519
2022-11-09,7.569,7.569,7.537,7.545
2022-11-07,7.606,7.606,7.571,7.571
2022-11-04,7.667,7.667,7.606,7.606
2022-11-03,7.615,7.632,7.593,7.623
2022-11-02,7.58,7.58,7.552,7.552
2022-11-01,7.58,7.58,7.548,7.55
2022-10-31,7.58,7.59,7.563,7.567
2022-10-28,7.571,7.573,7.535,7.537
2022-10-27,7.558,7.56,7.511,7.531
2022-10-25,7.632,7.632,7.567,7.567
2022-10-21,7.645,7.648,7.632,7.648
2022-10-20,7.631,7.631,7.602,7.602
2022-10-19,7.58,7.58,7.537,7.554
2022-10-18,7.563,7.597,7.52,7.537
2022-10-17,7.615,7.615,7.545,7.563
2022-10-14,7.597,7.619,7.593,7.602
2022-10-13,7.571,7.589,7.554,7.554
2022-10-12,7.563,7.563,7.507,7.511
2022-10-11,7.633,7.633,7.558,7.558
2022-10-10,7.633,7.633,7.591,7.591
2022-10-07,7.624,7.624,7.592,7.592
2022-10-06,7.567,7.567,7.535,7.535
2022-10-04,7.554,7.554,7.46,7.46
2022-10-03,7.529,7.589,7.529,7.576
2022-09-30,7.55,7.588,7.502,7.545
2022-09-29,7.519,7.519,7.493,7.501
2022-09-28,7.551,7.551,7.506,7.507
2022-09-27,7.534,7.534,7.476,7.476
2022-09-26,7.588,7.588,7.534,7.534
2022-09-23,7.507,7.552,7.496,7.529
2022-09-22,7.444,7.444,7.444,7.444
